Category ID,Name,Has Child,Parent ID,Attributes
1,Women's Apparel,True,0,
373,Dresses,True,1,
6389,Midi Dress,False,373,;Brand;Material;Style
6391,Maxi Dress,False,373,;Brand;Material;Style
4770,Others,False,373,;Brand
11962,Bodycons,False,373,;Brand
11490,Short Dresses,False,373,;Brand;Material;Style
357,Tops,True,1,
6414,Crop Top,False,357,;Brand;Material;Style
6415,T-shirt,False,357,;Brand;Material;Style
6416,Blouse,False,357,;Brand;Material;Style
6418,Plus size,False,357,;Brand;Material;Style
6420,Tank Top,False,357,;Brand;Material;Style
4769,Others,False,357,;Brand
11479,Shirt,False,357,;Brand;Material;Style
11480,Tunic,False,357,;Brand
383,Playsuits & Jumpsuits,True,1,
4768,Others,False,383,;Brand
11493,Rompers,False,383,;Brand;Material;Color
11494,Jumpsuits,False,383,;Brand;Material;Color
11495,Dungarees,False,383,;Brand;Material;Color
375,Skirts,True,1,
6409,Maxi skirt,False,375,;Brand;Style;Material;Color
6410,Mini skirt,False,375,;Brand;Material;Color
4767,Others,False,375,;Brand
11491,Skater Skirts,False,375,;Brand;Material;Color
11492,A-line Skirts,False,375,;Brand;Material;Color
377,Shorts,True,1,
6406,Denim Shorts,False,377,;Brand;Material
6407,Skorts,False,377,;Brand;Material
4766,Others,False,377,;Brand
11477,Tailored Shorts,False,377,;Brand;Material
11478,Casual Shorts,False,377,;Brand;Material
379,Pants & Leggings,True,1,
6402,Culottes,False,379,;Brand;Material;Pants Length
6403,Women's Jeans,False,379,;Brand;Rise;Pants Length
6404,Leggings,False,379,;Brand;Material;Pants Length
4765,Others,False,379,;Brand
11482,Wide-legged Pants,False,379,;Brand;Material;Pants Length
11483,Straight Leg Pants,False,379,;Brand;Material;Pants Length
11484,Skinny Pants,False,379,;Brand;Material;Pants Length
11485,Cropped Pants,False,379,;Brand;Material;Pants Length
11486,Jogger Pants,False,379,;Brand;Material;Pants Length
381,Outerwear,True,1,
6400,Parka,False,381,;Brand;Material
6401,Jacket,False,381,;Brand;Material;Style
6399,Cardigan,False,381,;Brand;Material;Style
4764,Others,False,381,;Brand
11474,Coats,False,381,;Brand;Material;Style
11475,Blazers,False,381,;Brand;Material;Style
11476,Hoodies & Sweaters,False,381,;Brand;Material;Style
385,Lingerie,True,1,
6395,Sleepwear,False,385,;Brand;Type;Material
6396,Bra,False,385,;Brand;Style;Material
6397,Panty,False,385,;Brand;Style;Material
4763,Others,False,385,;Brand
11487,Bralette,False,385,;Brand;Material;Style
11488,Lingerie Sets,False,385,;Brand;Material;Style
11489,Shapewear,False,385,;Brand;Material;Shapewear Concern
387,Beachwear,True,1,
6386,Bikini,False,387,;Brand;Style;Material
6387,Swimsuit,False,387,;Brand;Style;Material
6388,Beach Cover Up,False,387,;Brand;Style;Material
4762,Others,False,387,;Brand
11481,Rashguards,False,387,;Brand;Material;Sleeve Length
389,Ethnic,True,1,
6393,Cheongsam,False,389,;Brand
6394,Jubah,False,389,;Brand
4761,Others,False,389,;Brand
204,Others,False,1,;Brand
4760,Others,False,204,;Brand
13617,Active Wear,True,1,
13652, Sports Bottom,False,13617,;Brand
13654,Sports Top,False,13617,;Brand
13655,Sports Bra,False,13617,;Brand
13709,Others,False,13617,;Brand
2,Men's Wear,True,0,
393,T-Shirts,True,2,
6460,Men's Short Sleeve Tee,False,393,;Brand;Color;Origin;Material;Form
4640,Others,False,393,;Brand
11680,Graphic ,False,393,;Brand;Material;Fit
11681,Solid,False,393,;Brand;Material;Fit
11682,Long Sleeved,False,393,;Brand;Material;Fit
11683,Tank Tops,False,393,;Brand;Material;Fit
395,Shirts,True,2,
6452,Short Sleeve,False,395,;Brand;Fit
